part3,part2b,part2t,part1,scope,language_type,ref_name,comment,print_name,inverted_name,m_id
giz,,,,Individual,Living language,South Giziga,,South Giziga,"Giziga, South",
gjk,,,,Individual,Living language,Kachi Koli,,Kachi Koli,"Koli, Kachi",
gjm,,,,Individual,Extinct language,Gunditjmara,,Gunditjmara,Gunditjmara,
gjn,,,,Individual,Living language,Gonja,,Gonja,Gonja,
gjr,,,,Individual,Living language,Gurindji Kriol,,Gurindji Kriol,Gurindji Kriol,
gju,,,,Individual,Living language,Gujari,,Gujari,Gujari,raj
gka,,,,Individual,Living language,Guya,,Guya,Guya,
gkd,,,,Individual,Living language,Magɨ (Madang Province),,Magɨ (Madang Province),Magɨ (Madang Province),
gke,,,,Individual,Living language,Ndai,,Ndai,Ndai,
gkn,,,,Individual,Living language,Gokana,,Gokana,Gokana,
gko,,,,Individual,Extinct language,Kok-Nar,,Kok-Nar,Kok-Nar,
gkp,,,,Individual,Living language,Guinea Kpelle,,Guinea Kpelle,"Kpelle, Guinea",kpe
gku,,,,Individual,Extinct language,ǂUngkue,,ǂUngkue,ǂUngkue,
gla,gla,gla,gd,Individual,Living language,Scottish Gaelic,,Gaelic,Gaelic,
gla,gla,gla,gd,Individual,Living language,Scottish Gaelic,,Scottish Gaelic,"Gaelic, Scottish",
glb,,,,Individual,Living language,Belning,,Belning,Belning,
glc,,,,Individual,Living language,Bon Gula,,Bon Gula,Bon Gula,
gld,,,,Individual,Living language,Nanai,,Nanai,Nanai,
gle,gle,gle,ga,Individual,Living language,Irish,,Irish,Irish,
glg,glg,glg,gl,Individual,Living language,Galician,,Galician,Galician,
glh,,,,Individual,Living language,Northwest Pashai,,Northwest Pashai,"Pashai, Northwest",
