part3,part2b,part2t,part1,scope,language_type,ref_name,comment,print_name,inverted_name,m_id
aaa,,,,Individual,Living language,Ghotuo,,Ghotuo,Ghotuo,
aab,,,,Individual,Living language,Alumu-Tesu,,Alumu-Tesu,Alumu-Tesu,
aac,,,,Individual,Living language,Ari,,Ari,Ari,
aad,,,,Individual,Living language,Amal,,Amal,Amal,
aae,,,,Individual,Living language,Arbëreshë Albanian,,Arbëreshë Albanian,"Albanian, Arbëreshë",sqi
aaf,,,,Individual,Living language,Aranadan,,Aranadan,Aranadan,
aag,,,,Individual,Living language,Ambrak,,Ambrak,Ambrak,
aah,,,,Individual,Living language,Abu' Arapesh,,Abu' Arapesh,"Arapesh, Abu'",
aai,,,,Individual,Living language,Arifama-Miniafia,,Arifama-Miniafia,Arifama-Miniafia,
aak,,,,Individual,Living language,Ankave,,Ankave,Ankave,
aal,,,,Individual,Living language,Afade,,Afade,Afade,
aan,,,,Individual,Living language,Anambé,,Anambé,Anambé,
aao,,,,Individual,Living language,Algerian Saharan Arabic,,Algerian Saharan Arabic,"Arabic, Algerian Saharan",ara
aap,,,,Individual,Living language,Pará Arára,,Pará Arára,"Arára, Pará",
aaq,,,,Individual,Extinct language,Eastern Abnaki,,Eastern Abnaki,"Abnaki, Eastern",
aar,aar,aar,aa,Individual,Living language,Afar,,Afar,Afar,
aas,,,,Individual,Living language,Aasáx,,Aasáx,Aasáx,
aat,,,,Individual,Living language,Arvanitika Albanian,,Arvanitika Albanian,"Albanian, Arvanitika",sqi
aau,,,,Individual,Living language,Abau,,Abau,Abau,
aaw,,,,Individual,Living language,Solong,,Solong,Solong,
aax,,,,Individual,Living language,Mandobo Atas,,Mandobo Atas,Mandobo Atas,
aaz,,,,Individual,Living language,Amarasi,,Amarasi,Amarasi,
aba,,,,Individual,Living language,Abé,,Abé,Abé,
abb,,,,Individual,Living language,Bankon,,Bankon,Bankon,
abc,,,,Individual,Living language,Ambala Ayta,,Ambala Ayta,"Ayta, Ambala",
abd,,,,Individual,Living language,Manide,,Manide,Manide,
abe,,,,Individual,Living language,Western Abnaki,,Western Abnaki,"Abnaki, Western",
abf,,,,Individual,Living language,Abai Sungai,,Abai Sungai,Abai Sungai,
abg,,,,Individual,Living language,Abaga,,Abaga,Abaga,
abh,,,,Individual,Living language,Tajiki Arabic,,Tajiki Arabic,"Arabic, Tajiki",ara
abi,,,,Individual,Living language,Abidji,,Abidji,Abidji,
abj,,,,Individual,Extinct language,Aka-Bea,,Aka-Bea,Aka-Bea,
abk,abk,abk,ab,Individual,Living language,Abkhazian,,Abkhazian,Abkhazian,
abl,,,,Individual,Living language,Lampung Nyo,,Lampung Nyo,Lampung Nyo,
abm,,,,Individual,Living language,Abanyom,,Abanyom,Abanyom,
abn,,,,Individual,Living language,Abua,,Abua,Abua,
abo,,,,Individual,Living language,Abon,,Abon,Abon,
abp,,,,Individual,Living language,Abellen Ayta,,Abellen Ayta,"Ayta, Abellen",
abq,,,,Individual,Living language,Abaza,,Abaza,Abaza,
abr,,,,Individual,Living language,Abron,,Abron,Abron,
abs,,,,Individual,Living language,Ambonese Malay,,Ambonese Malay,"Malay, Ambonese",
abt,,,,Individual,Living language,Ambulas,,Ambulas,Ambulas,
abu,,,,Individual,Living language,Abure,,Abure,Abure,
abv,,,,Individual,Living language,Baharna Arabic,,Baharna Arabic,"Arabic, Baharna",ara
abw,,,,Individual,Living language,Pal,,Pal,Pal,
abx,,,,Individual,Living language,Inabaknon,,Inabaknon,Inabaknon,
aby,,,,Individual,Living language,Aneme Wake,,Aneme Wake,Aneme Wake,
abz,,,,Individual,Living language,Abui,,Abui,Abui,
aca,,,,Individual,Living language,Achagua,,Achagua,Achagua,
acb,,,,Individual,Living language,Áncá,,Áncá,Áncá,
acd,,,,Individual,Living language,Gikyode,,Gikyode,Gikyode,
ace,ace,ace,,Individual,Living language,Achinese,,Achinese,Achinese,
acf,,,,Individual,Living language,Saint Lucian Creole French,,Saint Lucian Creole French,"Creole French, Saint Lucian",
ach,ach,ach,,Individual,Living language,Acoli,,Acoli,Acoli,
aci,,,,Individual,Extinct language,Aka-Cari,,Aka-Cari,Aka-Cari,
ack,,,,Individual,Extinct language,Aka-Kora,,Aka-Kora,Aka-Kora,
acl,,,,Individual,Extinct language,Akar-Bale,,Akar-Bale,Akar-Bale,
acm,,,,Individual,Living language,Mesopotamian Arabic,,Mesopotamian Arabic,"Arabic, Mesopotamian",ara
acn,,,,Individual,Living language,Achang,,Achang,Achang,
acp,,,,Individual,Living language,Eastern Acipa,,Eastern Acipa,"Acipa, Eastern",
acq,,,,Individual,Living language,Ta'izzi-Adeni Arabic,,Ta'izzi-Adeni Arabic,"Arabic, Ta'izzi-Adeni",ara
acr,,,,Individual,Living language,Achi,,Achi,Achi,
acs,,,,Individual,Extinct language,Acroá,,Acroá,Acroá,
act,,,,Individual,Living language,Achterhoeks,,Achterhoeks,Achterhoeks,
acu,,,,Individual,Living language,Achuar-Shiwiar,,Achuar-Shiwiar,Achuar-Shiwiar,
acv,,,,Individual,Living language,Achumawi,,Achumawi,Achumawi,
acw,,,,Individual,Living language,Hijazi Arabic,,Hijazi Arabic,"Arabic, Hijazi",ara
acx,,,,Individual,Living language,Omani Arabic,,Omani Arabic,"Arabic, Omani",ara
acy,,,,Individual,Living language,Cypriot Arabic,,Cypriot Arabic,"Arabic, Cypriot",ara
acz,,,,Individual,Living language,Acheron,,Acheron,Acheron,
ada,ada,ada,,Individual,Living language,Adangme,,Adangme,Adangme,
adb,,,,Individual,Living language,Atauran,,Atauran,Atauran,
add,,,,Individual,Living language,Lidzonka,,Dzodinka,Dzodinka,
add,,,,Individual,Living language,Lidzonka,,Lidzonka,Lidzonka,
ade,,,,Individual,Living language,Adele,,Adele,Adele,
adf,,,,Individual,Living language,Dhofari Arabic,,Dhofari Arabic,"Arabic, Dhofari",ara
adg,,,,Individual,Living language,Andegerebinha,,Andegerebinha,Andegerebinha,
adh,,,,Individual,Living language,Adhola,,Adhola,Adhola,
adi,,,,Individual,Living language,Adi,,Adi,Adi,
adj,,,,Individual,Living language,Adioukrou,,Adioukrou,Adioukrou,
adl,,,,Individual,Living language,Galo,,Galo,Galo,
adn,,,,Individual,Living language,Adang,,Adang,Adang,
ado,,,,Individual,Living language,Abu,,Abu,Abu,
adq,,,,Individual,Living language,Adangbe,,Adangbe,Adangbe,
adr,,,,Individual,Living language,Adonara,,Adonara,Adonara,
ads,,,,Individual,Living language,Adamorobe Sign Language,,Adamorobe Sign Language,Adamorobe Sign Language,
adt,,,,Individual,Living language,Adnyamathanha,,Adnyamathanha,Adnyamathanha,
adu,,,,Individual,Living language,Aduge,,Aduge,Aduge,
adw,,,,Individual,Living language,Amundava,,Amundava,Amundava,
adx,,,,Individual,Living language,Amdo Tibetan,,Amdo Tibetan,"Tibetan, Amdo",
ady,ady,ady,,Individual,Living language,Adyghe,,Adygei,Adygei,
ady,ady,ady,,Individual,Living language,Adyghe,,Adyghe,Adyghe,
adz,,,,Individual,Living language,Adzera,,Adzera,Adzera,
aea,,,,Individual,Extinct language,Areba,,Areba,Areba,
aeb,,,,Individual,Living language,Tunisian Arabic,,Tunisian Arabic,"Arabic, Tunisian",ara
aec,,,,Individual,Living language,Saidi Arabic,,Saidi Arabic,"Arabic, Saidi",ara
aed,,,,Individual,Living language,Argentine Sign Language,,Argentine Sign Language,Argentine Sign Language,
aee,,,,Individual,Living language,Northeast Pashai,,Northeast Pashai,"Pashai, Northeast",
aee,,,,Individual,Living language,Northeast Pashai,,Northeast Pashayi,"Pashayi, Northeast",
aek,,,,Individual,Living language,Haeke,,Haeke,Haeke,
ael,,,,Individual,Living language,Ambele,,Ambele,Ambele,
aem,,,,Individual,Living language,Arem,,Arem,Arem,
aen,,,,Individual,Living language,Armenian Sign Language,,Armenian Sign Language,Armenian Sign Language,
aeq,,,,Individual,Living language,Aer,,Aer,Aer,
aer,,,,Individual,Living language,Eastern Arrernte,,Eastern Arrernte,"Arrernte, Eastern",
aes,,,,Individual,Extinct language,Alsea,,Alsea,Alsea,
aeu,,,,Individual,Living language,Akeu,,Akeu,Akeu,
aew,,,,Individual,Living language,Ambakich,,Ambakich,Ambakich,
aey,,,,Individual,Living language,Amele,,Amele,Amele,
aez,,,,Individual,Living language,Aeka,,Aeka,Aeka,
afb,,,,Individual,Living language,Gulf Arabic,,Gulf Arabic,"Arabic, Gulf",ara
afd,,,,Individual,Living language,Andai,,Andai,Andai,
afe,,,,Individual,Living language,Putukwam,,Putukwam,Putukwam,
afg,,,,Individual,Living language,Afghan Sign Language,,Afghan Sign Language,Afghan Sign Language,
afh,afh,afh,,Individual,Constructed language,Afrihili,,Afrihili,Afrihili,
afi,,,,Individual,Living language,Akrukay,,Akrukay,Akrukay,
afi,,,,Individual,Living language,Akrukay,,Chini,Chini,
afk,,,,Individual,Living language,Nanubae,,Nanubae,Nanubae,
afn,,,,Individual,Living language,Defaka,,Defaka,Defaka,
afo,,,,Individual,Living language,Eloyi,,Eloyi,Eloyi,
afp,,,,Individual,Living language,Tapei,,Tapei,Tapei,
afr,afr,afr,af,Individual,Living language,Afrikaans,,Afrikaans,Afrikaans,
afs,,,,Individual,Living language,Afro-Seminole Creole,,Afro-Seminole Creole,"Creole, Afro-Seminole",
aft,,,,Individual,Living language,Afitti,,Afitti,Afitti,
afu,,,,Individual,Living language,Awutu,,Awutu,Awutu,
afz,,,,Individual,Living language,Obokuitai,,Obokuitai,Obokuitai,
aga,,,,Individual,Extinct language,Aguano,,Aguano,Aguano,
agb,,,,Individual,Living language,Legbo,,Legbo,Legbo,
agc,,,,Individual,Living language,Agatu,,Agatu,Agatu,
agd,,,,Individual,Living language,Agarabi,,Agarabi,Agarabi,
age,,,,Individual,Living language,Angal,,Angal,Angal,
agf,,,,Individual,Living language,Arguni,,Arguni,Arguni,
agg,,,,Individual,Living language,Angor,,Angor,Angor,
agh,,,,Individual,Living language,Ngelima,,Ngelima,Ngelima,
agi,,,,Individual,Living language,Agariya,,Agariya,Agariya,
agj,,,,Individual,Living language,Argobba,,Argobba,Argobba,
agk,,,,Individual,Living language,Isarog Agta,,Isarog Agta,"Agta, Isarog",
agl,,,,Individual,Living language,Fembe,,Fembe,Fembe,
agm,,,,Individual,Living language,Angaataha,,Angaataha,Angaataha,
agn,,,,Individual,Living language,Agutaynen,,Agutaynen,Agutaynen,
ago,,,,Individual,Living language,Tainae,,Tainae,Tainae,
agq,,,,Individual,Living language,Aghem,,Aghem,Aghem,
agr,,,,Individual,Living language,Aguaruna,,Aguaruna,Aguaruna,
ags,,,,Individual,Living language,Esimbi,,Esimbi,Esimbi,
agt,,,,Individual,Living language,Central Cagayan Agta,,Central Cagayan Agta,"Agta, Central Cagayan",
agu,,,,Individual,Living language,Aguacateco,,Aguacateco,Aguacateco,
agv,,,,Individual,Living language,Remontado Dumagat,,Remontado Dumagat,"Dumagat, Remontado",
agw,,,,Individual,Living language,Kahua,,Kahua,Kahua,
agx,,,,Individual,Living language,Aghul,,Aghul,Aghul,
agy,,,,Individual,Living language,Southern Alta,,Southern Alta,"Alta, Southern",
agz,,,,Individual,Living language,Mt. Iriga Agta,,Mt. Iriga Agta,"Agta, Mt. Iriga",
aha,,,,Individual,Living language,Ahanta,,Ahanta,Ahanta,
ahb,,,,Individual,Living language,Axamb,,Axamb,Axamb,
ahg,,,,Individual,Living language,Qimant,,Qimant,Qimant,
ahh,,,,Individual,Living language,Aghu,,Aghu,Aghu,
ahi,,,,Individual,Living language,Tiagbamrin Aizi,,Tiagbamrin Aizi,"Aizi, Tiagbamrin",
ahk,,,,Individual,Living language,Akha,,Akha,Akha,
ahl,,,,Individual,Living language,Igo,,Igo,Igo,
ahm,,,,Individual,Living language,Mobumrin Aizi,,Mobumrin Aizi,"Aizi, Mobumrin",
ahn,,,,Individual,Living language,Àhàn,,Àhàn,Àhàn,
aho,,,,Individual,Extinct language,Ahom,,Ahom,Ahom,
ahp,,,,Individual,Living language,Aproumu Aizi,,Aproumu Aizi,"Aizi, Aproumu",
ahr,,,,Individual,Living language,Ahirani,,Ahirani,Ahirani,
ahs,,,,Individual,Living language,Ashe,,Ashe,Ashe,
aht,,,,Individual,Living language,Ahtena,,Ahtena,Ahtena,
aia,,,,Individual,Living language,Arosi,,Arosi,Arosi,
aib,,,,Individual,Living language,Ainu (China),,Ainu (China),Ainu (China),
aic,,,,Individual,Living language,Ainbai,,Ainbai,Ainbai,
aid,,,,Individual,Extinct language,Alngith,,Alngith,Alngith,
aie,,,,Individual,Living language,Amara,,Amara,Amara,
aif,,,,Individual,Living language,Agi,,Agi,Agi,
aig,,,,Individual,Living language,Antigua and Barbuda Creole English,,Antigua and Barbuda Creole English,"Creole English, Antigua and Barbuda",
aih,,,,Individual,Living language,Ai-Cham,,Ai-Cham,Ai-Cham,
aii,,,,Individual,Living language,Assyrian Neo-Aramaic,,Assyrian Neo-Aramaic,"Neo-Aramaic, Assyrian",syr
aij,,,,Individual,Living language,Lishanid Noshan,,Lishanid Noshan,Lishanid Noshan,
aik,,,,Individual,Living language,Ake,,Ake,Ake,
ail,,,,Individual,Living language,Aimele,,Aimele,Aimele,
aim,,,,Individual,Living language,Aimol,,Aimol,Aimol,
ain,ain,ain,,Individual,Living language,Ainu (Japan),,Ainu (Japan),Ainu (Japan),
aio,,,,Individual,Living language,Aiton,,Aiton,Aiton,
aip,,,,Individual,Living language,Burumakok,,Burumakok,Burumakok,
aiq,,,,Individual,Living language,Aimaq,,Aimaq,Aimaq,
air,,,,Individual,Living language,Airoran,,Airoran,Airoran,
ait,,,,Individual,Extinct language,Arikem,,Arikem,Arikem,
aiw,,,,Individual,Living language,Aari,,Aari,Aari,
aix,,,,Individual,Living language,Aighon,,Aighon,Aighon,
aiy,,,,Individual,Living language,Ali,,Ali,Ali,
aja,,,,Individual,Living language,Aja (South Sudan),,Aja (South Sudan),Aja (South Sudan),
ajg,,,,Individual,Living language,Aja (Benin),,Aja (Benin),Aja (Benin),
aji,,,,Individual,Living language,Ajië,,Ajië,Ajië,
ajn,,,,Individual,Living language,Andajin,,Andajin,Andajin,
ajs,,,,Individual,Living language,Algerian Jewish Sign Language,,Algerian Jewish Sign Language,Algerian Jewish Sign Language,
aju,,,,Individual,Living language,Judeo-Moroccan Arabic,,Judeo-Moroccan Arabic,"Arabic, Judeo-Moroccan",jrb
ajw,,,,Individual,Extinct language,Ajawa,,Ajawa,Ajawa,
ajz,,,,Individual,Living language,Amri Karbi,,Amri Karbi,"Karbi, Amri",
aka,aka,aka,ak,Macrolanguage,Living language,Akan,,Akan,Akan,
akb,,,,Individual,Living language,Batak Angkola,,Batak Angkola,Batak Angkola,
akc,,,,Individual,Living language,Mpur,,Mpur,Mpur,
akd,,,,Individual,Living language,Ukpet-Ehom,,Ukpet-Ehom,Ukpet-Ehom,
ake,,,,Individual,Living language,Akawaio,,Akawaio,Akawaio,
akf,,,,Individual,Living language,Akpa,,Akpa,Akpa,
akg,,,,Individual,Living language,Anakalangu,,Anakalangu,Anakalangu,
akh,,,,Individual,Living language,Angal Heneng,,Angal Heneng,Angal Heneng,
aki,,,,Individual,Living language,Aiome,,Aiome,Aiome,
akj,,,,Individual,Extinct language,Aka-Jeru,,Aka-Jeru,Aka-Jeru,
akk,akk,akk,,Individual,Historical language,Akkadian,,Akkadian,Akkadian,
akl,,,,Individual,Living language,Aklanon,,Aklanon,Aklanon,
akm,,,,Individual,Extinct language,Aka-Bo,,Aka-Bo,Aka-Bo,
ako,,,,Individual,Living language,Akurio,,Akurio,Akurio,
akp,,,,Individual,Living language,Siwu,,Siwu,Siwu,
akq,,,,Individual,Living language,Ak,,Ak,Ak,
akr,,,,Individual,Living language,Araki,,Araki,Araki,
aks,,,,Individual,Living language,Akaselem,,Akaselem,Akaselem,
akt,,,,Individual,Living language,Akolet,,Akolet,Akolet,
aku,,,,Individual,Living language,Akum,,Akum,Akum,
akv,,,,Individual,Living language,Akhvakh,,Akhvakh,Akhvakh,
akw,,,,Individual,Living language,Akwa,,Akwa,Akwa,
akx,,,,Individual,Extinct language,Aka-Kede,,Aka-Kede,Aka-Kede,
aky,,,,Individual,Extinct language,Aka-Kol,,Aka-Kol,Aka-Kol,
akz,,,,Individual,Living language,Alabama,,Alabama,Alabama,
ala,,,,Individual,Living language,Alago,,Alago,Alago,
alc,,,,Individual,Living language,Qawasqar,,Qawasqar,Qawasqar,
ald,,,,Individual,Living language,Alladian,,Alladian,Alladian,
ale,ale,ale,,Individual,Living language,Aleut,,Aleut,Aleut,
alf,,,,Individual,Living language,Alege,,Alege,Alege,
alh,,,,Individual,Living language,Alawa,,Alawa,Alawa,
ali,,,,Individual,Living language,Amaimon,,Amaimon,Amaimon,
alj,,,,Individual,Living language,Alangan,,Alangan,Alangan,
alk,,,,Individual,Living language,Alak,,Alak,Alak,
all,,,,Individual,Living language,Allar,,Allar,Allar,
alm,,,,Individual,Living language,Amblong,,Amblong,Amblong,
aln,,,,Individual,Living language,Gheg Albanian,,Gheg Albanian,"Albanian, Gheg",sqi
alo,,,,Individual,Living language,Larike-Wakasihu,,Larike-Wakasihu,Larike-Wakasihu,
alp,,,,Individual,Living language,Alune,,Alune,Alune,
alq,,,,Individual,Living language,Algonquin,,Algonquin,Algonquin,
alr,,,,Individual,Living language,Alutor,,Alutor,Alutor,
als,,,,Individual,Living language,Tosk Albanian,,Tosk Albanian,"Albanian, Tosk",sqi
alt,alt,alt,,Individual,Living language,Southern Altai,,Southern Altai,"Altai, Southern",
alu,,,,Individual,Living language,'Are'are,,'Are'are,'Are'are,
alw,,,,Individual,Living language,Alaba-K’abeena,,Alaba-K’abeena,Alaba-K’abeena,
alw,,,,Individual,Living language,Alaba-K’abeena,,Wanbasana,Wanbasana,
alx,,,,Individual,Living language,Amol,,Amol,Amol,
aly,,,,Individual,Living language,Alyawarr,,Alyawarr,Alyawarr,
alz,,,,Individual,Living language,Alur,,Alur,Alur,
ama,,,,Individual,Extinct language,Amanayé,,Amanayé,Amanayé,
amb,,,,Individual,Living language,Ambo,,Ambo,Ambo,
amc,,,,Individual,Living language,Amahuaca,,Amahuaca,Amahuaca,
ame,,,,Individual,Living language,Yanesha',,Yanesha',Yanesha',
amf,,,,Individual,Living language,Hamer-Banna,,Hamer-Banna,Hamer-Banna,
amg,,,,Individual,Living language,Amurdak,,Amurdak,Amurdak,
amh,amh,amh,am,Individual,Living language,Amharic,,Amharic,Amharic,
ami,,,,Individual,Living language,Amis,,Amis,Amis,
amj,,,,Individual,Living language,Amdang,,Amdang,Amdang,
amk,,,,Individual,Living language,Ambai,,Ambai,Ambai,
aml,,,,Individual,Living language,War-Jaintia,,War-Jaintia,War-Jaintia,
amm,,,,Individual,Living language,Ama (Papua New Guinea),,Ama (Papua New Guinea),Ama (Papua New Guinea),
amn,,,,Individual,Living language,Amanab,,Amanab,Amanab,
amo,,,,Individual,Living language,Amo,,Amo,Amo,
amp,,,,Individual,Living language,Alamblak,,Alamblak,Alamblak,
amq,,,,Individual,Living language,Amahai,,Amahai,Amahai,
amr,,,,Individual,Living language,Amarakaeri,,Amarakaeri,Amarakaeri,
ams,,,,Individual,Living language,Southern Amami-Oshima,,Southern Amami-Oshima,"Amami-Oshima, Southern",
amt,,,,Individual,Living language,Amto,,Amto,Amto,
amu,,,,Individual,Living language,Guerrero Amuzgo,,Guerrero Amuzgo,"Amuzgo, Guerrero",
amv,,,,Individual,Living language,Ambelau,,Ambelau,Ambelau,
amw,,,,Individual,Living language,Western Neo-Aramaic,,Western Neo-Aramaic,"Neo-Aramaic, Western",
amx,,,,Individual,Living language,Anmatyerre,,Anmatyerre,Anmatyerre,
amy,,,,Individual,Living language,Ami,,Ami,Ami,
amz,,,,Individual,Extinct language,Atampaya,,Atampaya,Atampaya,
ana,,,,Individual,Extinct language,Andaqui,,Andaqui,Andaqui,
anb,,,,Individual,Extinct language,Andoa,,Andoa,Andoa,
anc,,,,Individual,Living language,Ngas,,Ngas,Ngas,
and,,,,Individual,Living language,Ansus,,Ansus,Ansus,
ane,,,,Individual,Living language,Xârâcùù,,Xârâcùù,Xârâcùù,
anf,,,,Individual,Living language,Animere,,Animere,Animere,
ang,ang,ang,,Individual,Historical language,Old English (ca. 450-1100),,Old English (ca. 450-1100),"English, Old (ca. 450-1100)",
anh,,,,Individual,Living language,Nend,,Nend,Nend,
ani,,,,Individual,Living language,Andi,,Andi,Andi,
anj,,,,Individual,Living language,Anor,,Anor,Anor,
ank,,,,Individual,Living language,Goemai,,Goemai,Goemai,
anl,,,,Individual,Living language,Anu-Hkongso Chin,,Anu-Hkongso Chin,"Chin, Anu-Hkongso",
anm,,,,Individual,Living language,Anal,,Anal,Anal,
ann,,,,Individual,Living language,Obolo,,Obolo,Obolo,
ano,,,,Individual,Living language,Andoque,,Andoque,Andoque,
anp,anp,anp,,Individual,Living language,Angika,,Angika,Angika,
anq,,,,Individual,Living language,Jarawa (India),,Jarawa (India),Jarawa (India),
anr,,,,Individual,Living language,Andh,,Andh,Andh,
ans,,,,Individual,Extinct language,Anserma,,Anserma,Anserma,
ant,,,,Individual,Living language,Antakarinya,,Antakarinya,Antakarinya,
ant,,,,Individual,Living language,Antakarinya,,Antikarinya,Antikarinya,
anu,,,,Individual,Living language,Anuak,,Anuak,Anuak,
anv,,,,Individual,Living language,Denya,,Denya,Denya,
anw,,,,Individual,Living language,Anaang,,Anaang,Anaang,
anx,,,,Individual,Living language,Andra-Hus,,Andra-Hus,Andra-Hus,
any,,,,Individual,Living language,Anyin,,Anyin,Anyin,
anz,,,,Individual,Living language,Anem,,Anem,Anem,
aoa,,,,Individual,Living language,Angolar,,Angolar,Angolar,
aob,,,,Individual,Living language,Abom,,Abom,Abom,
aoc,,,,Individual,Living language,Pemon,,Pemon,Pemon,
aod,,,,Individual,Living language,Andarum,,Andarum,Andarum,
aoe,,,,Individual,Living language,Angal Enen,,Angal Enen,Angal Enen,
aof,,,,Individual,Living language,Bragat,,Bragat,Bragat,
aog,,,,Individual,Living language,Angoram,,Angoram,Angoram,
aoi,,,,Individual,Living language,Anindilyakwa,,Anindilyakwa,Anindilyakwa,
aoj,,,,Individual,Living language,Mufian,,Mufian,Mufian,
aok,,,,Individual,Living language,Arhö,,Arhö,Arhö,
aol,,,,Individual,Living language,Alor,,Alor,Alor,
aom,,,,Individual,Living language,Ömie,,Ömie,Ömie,
aon,,,,Individual,Living language,Bumbita Arapesh,,Bumbita Arapesh,"Arapesh, Bumbita",
aor,,,,Individual,Extinct language,Aore,,Aore,Aore,
aos,,,,Individual,Living language,Taikat,,Taikat,Taikat,
aot,,,,Individual,Living language,Atong (India),,A'tong,A'tong,
aot,,,,Individual,Living language,Atong (India),,Atong (India),Atong (India),
aou,,,,Individual,Living language,A'ou,,A'ou,A'ou,
aox,,,,Individual,Living language,Atorada,,Atorada,Atorada,
aoz,,,,Individual,Living language,Uab Meto,,Uab Meto,Uab Meto,
apb,,,,Individual,Living language,Sa'a,,Sa'a,Sa'a,
apc,,,,Individual,Living language,Levantine Arabic,,Levantine Arabic,"Arabic, Levantine",ara
apd,,,,Individual,Living language,Sudanese Arabic,,Sudanese Arabic,"Arabic, Sudanese",ara
ape,,,,Individual,Living language,Bukiyip,,Bukiyip,Bukiyip,
apf,,,,Individual,Living language,Pahanan Agta,,Pahanan Agta,"Agta, Pahanan",
apg,,,,Individual,Living language,Ampanang,,Ampanang,Ampanang,
aph,,,,Individual,Living language,Athpariya,,Athpariya,Athpariya,
api,,,,Individual,Living language,Apiaká,,Apiaká,Apiaká,
apj,,,,Individual,Living language,Jicarilla Apache,,Jicarilla Apache,"Apache, Jicarilla",
apk,,,,Individual,Living language,Kiowa Apache,,Kiowa Apache,"Apache, Kiowa",
apl,,,,Individual,Living language,Lipan Apache,,Lipan Apache,"Apache, Lipan",
apm,,,,Individual,Living language,Mescalero-Chiricahua Apache,,Mescalero-Chiricahua Apache,"Apache, Mescalero-Chiricahua",
apn,,,,Individual,Living language,Apinayé,,Apinayé,Apinayé,
apo,,,,Individual,Living language,Ambul,,Ambul,Ambul,
app,,,,Individual,Living language,Apma,,Apma,Apma,
apq,,,,Individual,Living language,A-Pucikwar,,A-Pucikwar,A-Pucikwar,
apr,,,,Individual,Living language,Arop-Lokep,,Arop-Lokep,Arop-Lokep,
aps,,,,Individual,Living language,Arop-Sissano,,Arop-Sissano,Arop-Sissano,
apt,,,,Individual,Living language,Apatani,,Apatani,Apatani,
apu,,,,Individual,Living language,Apurinã,,Apurinã,Apurinã,
apv,,,,Individual,Extinct language,Alapmunte,,Alapmunte,Alapmunte,
apw,,,,Individual,Living language,Western Apache,,Western Apache,"Apache, Western",
apx,,,,Individual,Living language,Aputai,,Aputai,Aputai,
apy,,,,Individual,Living language,Apalaí,,Apalaí,Apalaí,
apz,,,,Individual,Living language,Safeyoka,,Safeyoka,Safeyoka,
aqc,,,,Individual,Living language,Archi,,Archi,Archi,
aqd,,,,Individual,Living language,Ampari Dogon,,Ampari Dogon,"Dogon, Ampari",
aqg,,,,Individual,Living language,Arigidi,,Arigidi,Arigidi,
aqk,,,,Individual,Living language,Aninka,,Aninka,Aninka,
aqm,,,,Individual,Living language,Atohwaim,,Atohwaim,Atohwaim,
aqn,,,,Individual,Living language,Northern Alta,,Northern Alta,"Alta, Northern",
aqp,,,,Individual,Extinct language,Atakapa,,Atakapa,Atakapa,
aqr,,,,Individual,Living language,Arhâ,,Arhâ,Arhâ,
aqt,,,,Individual,Living language,Angaité,,Angaité,Angaité,
aqz,,,,Individual,Living language,Akuntsu,,Akuntsu,Akuntsu,
ara,ara,ara,ar,Macrolanguage,Living language,Arabic,,Arabic,Arabic,
arb,,,,Individual,Living language,Standard Arabic,,Standard Arabic,"Arabic, Standard",ara
arc,arc,arc,,Individual,Historical language,Official Aramaic (700-300 BCE),,Imperial Aramaic (700-300 BCE),"Aramaic, Imperial (700-300 BCE)",
arc,arc,arc,,Individual,Historical language,Official Aramaic (700-300 BCE),,Official Aramaic (700-300 BCE),"Aramaic, Official (700-300 BCE)",
ard,,,,Individual,Extinct language,Arabana,,Arabana,Arabana,
are,,,,Individual,Living language,Western Arrarnta,,Western Arrarnta,"Arrarnta, Western",
arg,arg,arg,an,Individual,Living language,Aragonese,,Aragonese,Aragonese,
arh,,,,Individual,Living language,Arhuaco,,Arhuaco,Arhuaco,
ari,,,,Individual,Living language,Arikara,,Arikara,Arikara,
arj,,,,Individual,Extinct language,Arapaso,,Arapaso,Arapaso,
ark,,,,Individual,Living language,Arikapú,,Arikapú,Arikapú,
arl,,,,Individual,Living language,Arabela,,Arabela,Arabela,
arn,arn,arn,,Individual,Living language,Mapudungun,,Mapuche,Mapuche,
arn,arn,arn,,Individual,Living language,Mapudungun,,Mapudungun,Mapudungun,
aro,,,,Individual,Living language,Araona,,Araona,Araona,
arp,arp,arp,,Individual,Living language,Arapaho,,Arapaho,Arapaho,
arq,,,,Individual,Living language,Algerian Arabic,,Algerian Arabic,"Arabic, Algerian",ara
arr,,,,Individual,Living language,Karo (Brazil),,Karo (Brazil),Karo (Brazil),
ars,,,,Individual,Living language,Najdi Arabic,,Najdi Arabic,"Arabic, Najdi",ara
aru,,,,Individual,Extinct language,Aruá (Amazonas State),,Arawá,Arawá,
aru,,,,Individual,Extinct language,Aruá (Amazonas State),,Aruá (Amazonas State),Aruá (Amazonas State),
arv,,,,Individual,Living language,Arbore,,Arbore,Arbore,
arw,arw,arw,,Individual,Living language,Arawak,,Arawak,Arawak,
arx,,,,Individual,Living language,Aruá (Rodonia State),,Aruá (Rodonia State),Aruá (Rodonia State),
ary,,,,Individual,Living language,Moroccan Arabic,,Moroccan Arabic,"Arabic, Moroccan",ara
